drug_name,num_prescriber,total_cost
FML,17,34151
HUMULIN 70/30 KWIKPEN,2775,26580765
THINPRO INSULIN SYRINGE,5,1159
TETRACAINE HCL,3,646
VIRTPREX,1,0
VIBRAMYCIN,30,67036
DEPO-PROVERA,19,136624
ERYTHROCIN LACTOBIONATE,3,69795
ATROPINE SULFATE,1199,669343
PEGANONE,31,143394
CORLANOR,45,291367
CARAC,43,1581215
RENA-VITE RX,3,728
CEREZYME,22,7801002
TOLAZAMIDE,11,11997
MANNITOL,3,358
CILOXAN,111,347905
VERELAN PM,22,58714
VALSARTAN,98141,275913087
ACYCLOVIR SODIUM,3,3068
EVOTAZ,176,5249841
AZACTAM-ISO-OSMOTIC DEXTROSE,8,52520
LAMOTRIGINE ER,2011,22850952
ELAPRASE,2,2626027
LITHIUM CARBONATE ER,12027,6336986
MOMETASONE FUROATE,9428,5695138
TAPAZOLE,20,22814
CLOMIPRAMINE HCL,4459,47610103
ALDACTONE,66,85517
DIOVAN,17416,80934532
ACANYA,3,16970
TRI-PREVIFEM,422,83727
SPORANOX,46,1437723
TYKERB,143,9535463
DEXTROSE 5%-POTASSIUM CHLORIDE,1,166
PANCREAZE,256,2096004
ORTHO TRI-CYCLEN LO,145,247472
KERYDIN,108,2070961
ROBAXIN-750,11,40486
STROMECTOL,160,146768
ACCOLATE,38,94471
MINASTRIN 24 FE,70,102757
DILATRATE-SR,18,37487
ACETAZOLAMIDE,7115,20433023
LINCOCIN,1,836
TARCEVA,2156,301390657
ACTIQ,7,1495322
MIMVEY LO,140,203656
EXFORGE HCT,689,2618526
HIZENTRA,250,25227870
KELNOR 1-35,94,26916
BUMETANIDE,34649,42883816
METHENAMINE MANDELATE,107,123633
CEFADROXIL,4564,1472840
AZILECT,6130,157975509
LASTACAFT,672,2409850
LOTRONEX,148,4831285
MYCOPHENOLATE MOFETIL,7835,21476943
RYTHMOL,24,140991
DIPYRIDAMOLE,1599,607456
TARGRETIN,85,62800152
ILEVRO,4245,89115349
GUANFACINE HCL,3013,621903
DILTIAZEM 12HR ER,2595,4213538
FOSINOPRIL SODIUM,13188,3347507
CALAN SR,137,360630
HECORIA,4,12798
OCTAGAM,57,13012074
LEVETIRACETAM-NACL,2,8091
RENVELA,15105,1167304749
PROMETHAZINE VC,246,230407
DOBUTAMINE HCL,13,24518
COMTAN,48,406226
TORSEMIDE,32638,18692754
KLOR-CON M15,135,72604
BONIVA,190,692061
OMNIPRED,5,11051
DOVONEX,14,209184
QUETIAPINE FUMARATE,109966,175693262
VIRT NATE,4,0
ACULAR,6,20430
EMCYT,6,103212
METIPRANOLOL,28,15358
EXTRA-VIRT PLUS DHA,1,790
PACERONE,432,481108
BUPROPION HCL,19015,13631377
HYZAAR,513,1055546
CARISOPRODOL-ASPIRIN,1,1781
CELLCEPT,341,7557015
ABACAVIR,2002,19421354
ANTABUSE,1,2019
CAZIANT,14,4147
MS CONTIN,135,2182794
CIPRODEX,3927,16581501
FARESTON,51,928274
PICATO,244,3558214
NAFCILLIN,2,19020
NOVOLOG FLEXPEN,46231,849451339
THEOPHYLLINE ANHYDROUS,15808,10718511
PAZEO,496,2255125
NORTRIPTYLINE HCL,42504,13645056
MITOXANTRONE HCL,1,4397
DOXORUBICIN HCL,6,7201
BERINERT,17,24296835
METAXALONE,2828,11479035
COSENTYX PEN (2 PENS),40,3879864
EPLERENONE,4405,11007705
DEPACON,1,55314
GENTAK,298,144918
DICLOXACILLIN SODIUM,673,408392
LOMOTIL,24,62216
VIRAMUNE,32,293223
PEXEVA,127,756069
NARDIL,46,97735
XYLOCAINE-MPF,23,5361
LEVORA-28,204,49774
DULERA,18393,152786213
ALPRAZOLAM ODT,114,203230
CARDURA XL,35,46935
THEO-24,1027,1833487
DORYX,2,18470
DEXEDRINE,77,1625027
ZESTORETIC,76,205545
MAGNESIUM SULFATE,89,37387
ANGELIQ,23,35229
K-SOL,49,120863
ENTOCORT EC,37,770741
PYLERA,25,235179
CHORIONIC GONADOTROPIN,12,175785
PIOGLITAZONE HCL,58692,82228164
SANDIMMUNE,86,622215
FLAGYL,1,7010
MIACALCIN,51,2910766
DEMECLOCYCLINE HCL,969,5391068
TOBRAMYCIN SULFATE,264,707416
HYDROCODONE-IBUPROFEN,4889,3848532
DROXIA,69,42481
MATULANE,3,71305
NATACYN,7,26931
FORTICAL,930,1091844
BICNU,1,37983
ARNUITY ELLIPTA,21,65326
CARDIZEM CD,223,3518718
NICOTROL,323,1497607
PNV 29-1,1,197
ABRAXANE,22,1821213
NIFEDIPINE,261,287855
CITRANATAL DHA,2,1747
CONDYLOX,1,4411
FLOVENT HFA,25101,137237969
PREVIDENT 5000 PLUS,119,27207
ATOVAQUONE-PROGUANIL HCL,531,2236222
GUANFACINE HCL ER,356,943141
VELCADE,78,8951192
TIAZAC,63,76398
PHENYLEPHRINE HCL,50,42601
SORIATANE,32,537483
IRBESARTAN,39860,30619448
CRINONE,5,9572
VOL-PLUS,147,36599
VIVITROL,148,3518024
SANDOSTATIN LAR DEPOT,40,3371511
DESOGESTR-ETH ESTRAD ETH ESTRA,8,3743
EPIPEN 2-PAK,1957,18125693
SALACYN,1,385
PROBENECID-COLCHICINE,1465,1107012
SULFACETAMIDE-PREDNISOLONE,170,128821
MAVIK,11,9735
HEATHER,75,17500
AFINITOR,1166,220634526
WERA,13,3538
